id,Name,mrp,components,company
11,DIGENE 200ML  MINT,99.00,"Each 10 ml ( 2 tablespoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Carmosine ",ABBOTT
12,DIGENE GEL MINT 170 ML,71.00,"Each 10 ml ( 2 tablespoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Carmosine ",ABBOTT
13,DIGENE GEL MINT 170 ML,78.00,"Each 10 ml ( 2 tablespoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Carmosine ",ABBOTT
14,DIGENE 200ML OFFER PACK ORANGE,99.00,"Each 10 ml ( 2 tablespoonfuls approx)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Sunset Yellow FCF",ABBOTT
15,DIGENE 200ML OFFER PACK ORANGE,99.00,"Each 10 ml ( 2 tablespoonfuls approx)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Sunset Yellow FCF",ABBOTT
16,DIGENE GEL ORANGE 170 ML,71.00,"Each 10 ml ( 2 tablespoonfuls approx)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Sunset Yellow FCF",ABBOTT
17,DIGENE GEL MF 200ML PET,95.00,Each 10ml (2 teaspoonfuls approx.)Contains:Magnesium Hydroxide I.P…………….185 mg(added as paste)Simethicone I.P……………………….…50 mgSodium Carboxymethylcellulose I.P…100 mgDried Aluminium Hydroxide Gel I.P. …830 mg(added as paste)In a flavoured sugar-free baseColour: Quinoline Yellow WS &Sunset Yellow FCF,ABBOTT
18,DIGENE GEL MIXED FRUIT 170 ML,71.00,Each 10ml (2 teaspoonfuls approx.)Contains:Magnesium Hydroxide I.P…………….185 mg(added as paste)Simethicone I.P……………………….…50 mgSodium Carboxymethylcellulose I.P…100 mgDried Aluminium Hydroxide Gel I.P. …830 mg(added as paste)In a flavoured sugar-free baseColour: Quinoline Yellow WS &Sunset Yellow FCF,ABBOTT
19,DIGENE GEL STRAWBERRY 200ML PET,95.00,Each 10ml (2 teaspoonfuls approx.)Contains:Magnesium Hydroxide I.P…………….185 mg(added as paste)Simethicone I.P……………………….…50 mgSodium Carboxymethylcellulose I.P…100 mgDried Aluminium Hydroxide Gel I.P. …830 mg(added as paste)In a flavoured sugar-free baseColour: Erythrosine and Brillant Blue FCF,ABBOTT
20,DIGENE GEL STRAWBERRY 170 ML,71.00,Each 10ml (2 teaspoonfuls approx.)Contains:Magnesium Hydroxide I.P…………….185 mg(added as paste)Simethicone I.P……………………….…50 mgSodium Carboxymethylcellulose I.P…100 mgDried Aluminium Hydroxide Gel I.P. …830 mg(added as paste)In a flavoured sugar-free baseColour: Erythrosine and Brillant Blue FCF,ABBOTT
21,DIGENE GEL ORANGE 450 ML PET,149.00,"Each 10 ml ( 2 teaspoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour : Sunset Yellow FCF ",ABBOTT
22,DIGENE GEL ORANGE 450 ML PET,138.44,"Each 10 ml ( 2 teaspoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour : Sunset Yellow FCF ",ABBOTT
23,DIGENE GEL ORANGE 400ML,112.00,"Each 10 ml ( 2 teaspoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour : Sunset Yellow FCF ",ABBOTT
24,DIGENE GEL MINT 450 ML PET,149.00,"Each 10 ml ( 2 tablespoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Carmosine ",ABBOTT
25,DIGENE GEL MINT 450 ML PET,138.44,"Each 10 ml ( 2 tablespoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Carmosine ",ABBOTT
26,DIGENE GEL MINT 400 ML,112.00,"Each 10 ml ( 2 tablespoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Carmosine ",ABBOTT
27,DIGENE TAB MINT 15'S,15.00,"Each uncoated chewable tablet contains :
Dried aluminiunm Hydroxide Gel I.P………..300 mg           Magnesium Aluminium Silicate Hydrate…………..50 mg
Magnesium Hydroxide I.P…………..25 mg
Simethicone I.P………………………25 mg
Colours : Erythrosine & Ponceau 4 R",ABBOTT
28,DIGENE TAB MINT 15'S,15.00,"Each uncoated chewable tablet contains :
Dried aluminiunm Hydroxide Gel I.P………..300 mg           Magnesium Aluminium Silicate Hydrate…………..50 mg
Magnesium Hydroxide I.P…………..25 mg
Simethicone I.P………………………25 mg
Colours : Erythrosine & Ponceau 4 R",ABBOTT
29,DIGENE TAB ORANGE 15'S,15.00,Each uncoated chewable tablet contains:                    Dried Aluminium Hydroxide Gel I.P. .. 300 mg Magnesium Al. Silicate Hydrate I.P. ….50 mg Magnesium Hydroxide I.P. …………….25 mg          Simethicone I.P. ………………………..25 mg                     Colour: Sunset Yellow FCF,ABBOTT
30,DIGENE TAB ORANGE 15'S,15.00,Each uncoated chewable tablet contains:                    Dried Aluminium Hydroxide Gel I.P. .. 300 mg Magnesium Al. Silicate Hydrate I.P. ….50 mg Magnesium Hydroxide I.P. …………….25 mg          Simethicone I.P. ………………………..25 mg                     Colour: Sunset Yellow FCF,ABBOTT
31,DIGENE TAB MIXED FRUIT 15'S,15.00,Each uncoated chewable tablet contains:                    Dried Aluminium Hydroxide Gel I.P. .. 300 mg Magnesium Al. Silicate Hydrate I.P. ….50 mg Magnesium Hydroxide I.P. …………….25 mg          Simethicone I.P. ………………………..25 mg                     Colour: Quinoline Yellow WS & Sunset Yellow FCF,ABBOTT
32,DIGENE ASSORTED 15 S DANGLER,15.00,"Each uncoated chewable tablet contains:                   Dried Aluminium Hydroxide Gel I.P.…300 mg            Magnesium Al. Silicate Hydrate I.P. ….50 mg          Magnesium Hydroxide I.P. …………….25 mg        Simethicone I.P. ………………………..25 mg              Colours: Erythrosine & Ponceau 4R,Sunset Yellow FCF , Quinoline Yellow WS &Sunset Yellow FCF",ABBOTT
33,DIGENE TAB COLA 12'S,12.00,"Each uncoated chewable tablet contains:                   Dried Aluminium Hydroxide Gel I.P.…300 mg            Magnesium Al. Silicate Hydrate I.P. ….50 mg          Magnesium Hydroxide I.P. …………….25 mg        Simethicone I.P. ………………………..25 mg              Colours: Ponceau 4R, Indigo Carmine and Sunset Yellow FCF",ABBOTT
34,DIGENE TAB MINT 12'S,12.00,"Each uncoated chewable tablet contains :
Dried aluminiunm Hydroxide Gel I.P………..300 mg           Magnesium Aluminium Silicate Hydrate…………..50 mg
Magnesium Hydroxide I.P…………..25 mg
Simethicone I.P………………………25 mg
Colours : Erythrosine & Ponceau 4 R",ABBOTT
35,DIGENE TAB ORANGE 12'S,12.00,Each uncoated chewable tablet contains:                    Dried Aluminium Hydroxide Gel I.P. .. 300 mg Magnesium Al. Silicate Hydrate I.P. ….50 mg Magnesium Hydroxide I.P. …………….25 mg          Simethicone I.P. ………………………..25 mg                     Colour: Sunset Yellow FCF,ABBOTT
36,DIGENE TAB MIXED FRUIT 12'S,12.00,Each uncoated chewable tablet contains:                    Dried Aluminium Hydroxide Gel I.P. .. 300 mg Magnesium Al. Silicate Hydrate I.P. ….50 mg Magnesium Hydroxide I.P. …………….25 mg          Simethicone I.P. ………………………..25 mg                     Colour: Quinoline Yellow WS & Sunset Yellow FCF,ABBOTT
37,DIGENE TAB ASSORTED 12'S,12.00,"Each uncoated chewable tablet contains:                   Dried Aluminium Hydroxide Gel I.P.…300 mg            Magnesium Al. Silicate Hydrate I.P. ….50 mg          Magnesium Hydroxide I.P. …………….25 mg        Simethicone I.P. ………………………..25 mg              Colours: Erythrosine & Ponceau 4R,Sunset Yellow FCF , Quinoline Yellow WS &Sunset Yellow FCF",ABBOTT
38,DIGENE TAB PUDINA JEERA 12'S,12.00,"Each uncoated chewable tablet contains:
Dried Aluminium Hydroxide Gel I.P. ……..300mg                              Magnesium Aluminium Silicate Hydrate  ……50mg         Magnesium Hydroxide I.P. …………..25mg                         Simethicone I.P.               …………25mg                                        Colours : Alizarin Cyanine Green F & Quinoline Yellow WS",ABBOTT
39,Digene Pudina Pearls,18.00,"Each 180mg of Digene Pudina Pearl contains: Mentha Oi l(Mentha piperata, Aerial Part 0I.) 0.172ml, Spearmint Oil (Mentha spicata, Aerial Part 0I.) 0.036ml Excipients  q.s. Colours:Brilliant Blue FCF(C.I.No.42090) Tartrazine(C.I.No.19140)                                             Ayurvedic Proprietary Medicine",ABBOTT
40,Digene Fiz 3in1 Lemon Organge Cola 60x5g,300.00,"Cola Flavour:- Each 5g contains : Svarjiksara(Shuddh)2.20g, Nimbukamlam (Shushkam)2.07g Contains permitted sweetener, sodium saccharin 33mg/5g,Permitted colour:SunsetYellowFCF,TartrazineYellow,Carmoisine&IndigoCarmine&added flavour q.s.       LemonFlavour:- Each 5g contains : Svarjiksara(Shuddh)2.83g, Nimbukamlam (Shushkam)1.97g Contains permitted sweetener, sodium saccharin 12mg/5g,Permitted colour : TartrazineYellowSupra&added flavour q.s.  OrangeFlavour:- Each 5g contains : Svarjiksara(Shuddh)2.83g, Nimbukamlam (Shushkam)1.97g Contains permitted sweetener, sodium saccharin 15mg/5g,Permitted colour : SunsetYellowFCF&added flavour q.s.",ABBOTT
41,DIGENE FIZZ LEMON SACHET 6'S (SALE),36.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Tartrazine, added flavour q.s.",ABBOTT
42,DIGENE FIZZ LEMON SACHET 6'S (SALE),36.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Tartrazine, added flavour q.s.",ABBOTT
43,DIGENE FIZZ ORANGE SACHET 6'S (SALE),30.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Sunset Yellow FCF, added flavour q.s.",ABBOTT
44,DIGENE FIZZ COLA 5GM SACHET 1'S,6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.20g            Nimbukamlam(Shushkam)2.07g  Contains permitted sweetener , sodium saccharin33mg/5g and permitted colour : Tartrazine, Carmosine & Indigo Carmine & added flavour q.s.",ABBOTT
45,DIGENE FIZZ COLA 5GM SACHET 1'S,6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.20g            Nimbukamlam(Shushkam)2.07g  Contains permitted sweetener , sodium saccharin33mg/5g and permitted colour : Tartrazine, Carmosine & Indigo Carmine & added flavour q.s.",ABBOTT
46,DIGENE FIZZ LEMON SACHET 40'S OFFER PACK,6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Tartrazine, added flavour q.s.",ABBOTT
47,DIGENE FIZZ LEMON SACHET 1'S (SALE),6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Tartrazine, added flavour q.s.",ABBOTT
48,DIGENE FIZZ LEMON SACHET 1'S (SALE),6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Tartrazine, added flavour q.s.",ABBOTT
49,DIGENE FIZZ PUDINA SACHET 1'S (SALE),6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Brilliant Blue FCF and Tartrazine,  added flavour q.s.",ABBOTT
50,DIGENE FIZZ PUDINA SACHET 1'S (SALE),6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Brilliant Blue FCF and Tartrazine,  added flavour q.s.",ABBOTT
51,DIGENE FIZZ ORANGE SACHET 1'S (SALE),6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Sunset Yellow FCF, added flavour q.s.",ABBOTT
52,DIGENE FIZZ ORANGE SACHET 1'S (SALE),6.00,"Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.83g            Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Sunset Yellow FCF, added flavour q.s.",ABBOTT
53,DIGENE FIZZ REGULAR SACHET 1'S (SALE),6.00,Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.90g            Nimbukamlam(Shushkam)2.10g  Ref Charak Samhita,ABBOTT
54,DIGENE FIZZ REGULAR SACHET 1'S (SALE),6.00,Ingredients (per 5g) :                          Svarjiksara(Shuddh)2.90g            Nimbukamlam(Shushkam)2.10g  Ref Charak Samhita,ABBOTT
55,DIGENE FIZZ KACCHA AAM 5gm SACHET,6.00,"Ingredients (per 5g) :   Svarjiksara(Shuddh)2.83g , Nimbukamlam(Shushkam)1.97g  Contains ",ABBOTT
56,DIGENE FIZZ PAAN Flavour 5gm SACHET,6.00,"Each 5g contains :                          Svarjiksara(Shudh)2.83g ,           Nimbukamlam(Shushkam)1.97g,    Contains Permitted Sweetener : Sodium Saccharin I.P.13mg/5g, Permitted colours: Ponceau 4R and added flavour, Excipients …..qs",ABBOTT
57,DIGENE FIZZ 3 IN 1 AAM LEMON COLA 60S[20X3],360.00,"Each 5g contains :  Svarjiksara(Shuddh)2.83g, Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Tartrazine, added flavour q.s. ; Svarjiksara(Shuddh)2.83g ,Nimbukamlam(Shushkam)1.97g  Contains permitted sweetener , sodium saccharin15mg/5g and permitted colour : Sunset Yellow FCF, added flavour q.s.",ABBOTT
58,CREMAFFIN PLAIN 200 ML,128.50,"Each 15ml (1 tablespoonful approx.)                                                     Contains:                                                                                                              Liquid Paraffin I.P………………………3.75 ml                                                     Milk of Magnesia I.P………………….11.25ml 
",ABBOTT
59,CREMAFFIN MIXED FRUIT 200 ML,128.50,"Each 15 ml ( 1 tablespoon approx.)
Contains :
Liquid Paraffin I.P…………………..3.75 ml
Milk of magnesia I.P……………   11.25 ml                     
Colours: Carmoisine & Ponceau 4R",ABBOTT
60,CREMAFFIN MIXED FRUIT 225 ML,144.56,"Each 15 ml ( 1 tablespoon approx.)
Contains :
Liquid Paraffin I.P…………………..3.75 ml
Milk of magnesia I.P……………   11.25 ml                     
Colours: Carmoisine & Ponceau 4R",ABBOTT
61,CREMAFFIN MIXED FRUIT 450 ML,191.00,"Each 15 ml ( 1 tablespoon approx.)
Contains :
Liquid Paraffin I.P…………………..3.75 ml
Milk of magnesia I.P……………   11.25 ml",ABBOTT
62,CREMAFFIN MIXED FRUIT 400 ML,128.50,"Each 15 ml ( 1 tablespoon approx.)
Contains :
Liquid Paraffin I.P…………………..3.75 ml
Milk of magnesia I.P……………   11.25 ml",ABBOTT
63,GANATON 10'S,95.00,Each film coated tablet contains:                                                     Itopride Hydrochloride……………………50 mg                                        Colour: Titanium Dioxide,ABBOTT
64,GANATON 10'S,95.00,Each film coated tablet contains:                                                     Itopride Hydrochloride……………………50 mg                                        Colour: Titanium Dioxide,ABBOTT
65,GANATON 10'S,95.00,Each film coated tablet contains:                                                     Itopride Hydrochloride……………………50 mg                                        Colour: Titanium Dioxide,ABBOTT
66,ENTAMIZOLE-O 10S SALE,88.00,"Each film coated tablet contains :
Ofloxacin I.P.         200mg                      Ornidazole I.P.       500mg           Excipients     q.s.                             Colour : Titanium Dioxide I.P.
",ABBOTT
67,CREMALAX TAB 10'S,69.50,Each uncoated tablet contains:Sodium Picosulphate BP……………...10 mg,ABBOTT
68,"Cremalax  Liquid      
",85.00,Each 5ml contains :                          Sodium Picosulfate  BP   5mg                  In a flavoured syrup base                 Colour : Sunset Yellow FCF,ABBOTT
69,GANATON OD 10'S,285.00,Composition:   Each capsule contains:                                        Itopride Hydrochloride ( as sustained release pellets )                                                150mg                       Excipients                                            q.s. Approved colours used in capsule shell,ABBOTT
70,GANATON TOTAL 10'S,289.50,"Composition:      Each capsule contains:   Pantoprazole Sodium sesquihydrate equivalent to                         Pantoprazole              ……..  40 mg                       (As Enteric coated pellets)                            Itopride Hydrochloride          . …… 150 mg                     (As Sustained release pellets)            Excipients: q.s.                                            Colours: Lake of Indigo Carmine, Titanium Dioxide IP.                                             Approved colours used in capsule shells.                                               ",ABBOTT
71,DIGENE TOTAL 10'S,81.50,Each uncoated tablet contains:                                           Pantoprazole Sodium Sesquihydrate                                   equivalent to Pantoprazole  ……….40 mg                                Excipients ..................................q.s.                                                      Colour : Yellow Oxide of Iron               ,ABBOTT
72,SACCHARIN TABLETS 500'S,91.00,"Each uncoated tablets contains :
Saccharin I.P…………………………...12mg",ABBOTT
73,CREMAGEL 30GM,130.50,"Each ml contains:
Diltiazem Hydrochloride I.P. …………..2% w/w                                        Gel base ...........................q.s.                                                                   Indication : For the treatment of anal fissures  ",ABBOTT
74,CREMAFFIN PLUS 225 ML,168.19,Each 5ml (1 teaspoonful approx.)                        Contains:Liquid Paraffin I.P……………………1.25 ml               Milk of Magnesia I.P…………………3.75ml                     Sodium Picosulphate BP……………3.33mg                        Colours: Carmoisine & Ponceau 4R,ABBOTT
75,CREMAFFIN PLUS 200 ML,149.50,Each 5ml (1 teaspoonful approx.)                        Contains:Liquid Paraffin I.P……………………1.25 ml               Milk of Magnesia I.P…………………3.75ml                     Sodium Picosulphate BP……………3.33mg                        Colours: Carmoisine & Ponceau 4R,ABBOTT
76,LACOXA 200MG 10'S,167.00,"Each flim coated tablet contains:
Lacosamide …………. 200 mg
Colour:Titanium Dioxide I.P.",ABBOTT
77,LACOXA 100MG 10'S,94.50,"Each flim coated tablet contains:
Lacosamide …………. 100 mg
Colour:Titanium Dioxide I.P.",ABBOTT
78,LACOXA 50MG 10'S,53.70,"Each flim coated tablet contains:
Lacosamide …………. 50 mg
Colour:Titanium Dioxide I.P.",ABBOTT
79,"LACOXA INJECTION10MG/ML,20ML VIAL SALE",183.00,"Each ml contains:
Lacosamide …………. 10 mg
Water for Injection I.P.     q.s.",ABBOTT
80,ZOXAFLAM 10'S,209.75,"Each capsule contains:
Oxaceprol …………. 200 mg
Approved colours used in the capsule shell",ABBOTT
81,BRUGEL ACTIFAST GEL 30GM,119.00,Flurbiprofen I.P. ……………………5% w/w                    In a gel base containing Menthol & Methyl Salicylate                           ,ABBOTT
82,CREMA HEP 200ML,216.50,"Each 15ml contains:
Lactitol Monohydrate USP-NF…. 10g                                           Benzoic Acid I.P (as preservative) …..0.0225g                      Flavoured Aqueous base…… q.s.                                                                     ",ABBOTT
83,SURBEX OSTEO 10'S,132.00,"Each flim coated tablet contains:
Calcium Carbonate I.P …………………... 625mg                                    eq.to Elemental Calcium ……….…...…. 250mg                              Vitamin D3 I.P .……...........…...…..…. 125IU                                                Vitamin K2 - 7 …....…..................… 45mcg                                        Excipients …...........................……. q.s.                                               Colours : Red Iron Oxide & Titanium Dioxide I.P.                                                                     ",ABBOTT
84,TENFOCLEAR 300MG TABLET 30S,"  1,438.12 ","Each film coated tablet contains :
Tenofovir Disoproxil Fumarate I.P.      300mg                                 Equivalent to Tenofovir Disoproxil      245mg
Excipients                                        q.s.                             Colours:  Titanium Dioxide  I.P.",ABBOTT
85,DALSICLEAR 60MG TABLET 28S,6000.00,"Each film coated tablet contains :
Daclatasvir Dihydrochloride   equivalent to Daclatasvir 60mg                                 Colours: Sunset Yellow FCF and Titanium Dioxide IP",ABBOTT
86,LEDVICLEAR  1X28 TABS,25000.00,"Each film coated tablet contains :
Ledipasvir                            90mg                                 Sofosbuvir                          400mg
Excipients                         q.s.                             Colours: Ferric Oxide USP-NF Red, Ferric Oxide USP-NF Yellow & Titanium Dioxide  I.P.",ABBOTT
87,Velpaclear (1X28S),17500.00,Each film coated tablet contains :                          Sofosbuvir      400mg                       Velpatasvir     100mg                    Excipients         q.s.,ABBOTT
88,VIROCLEAR 400 (1X28S),"  18,984.14 ","Each film coated tablet contains :
Sofosbuvir                         400mg
Excipients                         q.s.                             Colours: Titanium Dioxide  I.P. & Sunset Yellow FCF Aluminium Lake.",ABBOTT
89,HEPTRAL 10'S,878.00,"Each Enteric coated tablet contains:
Ademetionine 1, 4-butane disulfonate (SD4) equivalent to Ademetionine lon ..…………..400mg",ABBOTT
90,ULCIKIT 6'S,39.06,Each kit contains:                                                                                                    (A)  2 Amoxycillin TabletsEach film coated tablet contains:          Amoxycillin Trihydrate IPEquivalent to Amoxycillin………750 mg                                    Colour: sunset Yellow FCF                                                                         (B) 2 Omeprazole Capsules IPEach capsule contains:Omeprazole IP………20 mg(as enteric coated granules)                                         Approved colours used in empty capsule                                                            (C)  2 Tinidazole Tablets IPEach film coated tablet contains: Tinidazole IP……….500 mg                                                             Colours: Quinoline Yellow & Titanium Dioxide,ABBOTT
91,DIGECAINE 170 ML,113.50,"Each 5ml of antacid anesthetic formaulation contains :
Magnesium Hydroxide I.P.(added as paste) ..300mg                      Dried Aluminium Hydroide Gel I.P. (added as paste) ….. 600mg               Simethicone I.P. ……………… 25mg          Oxetacaine BP .........10mg",ABBOTT
92,ICTASURE SR 50 MG 10 S TAB,89.00,Each Sustained release tablet contains :                            Lamotrigine I.P.    50mg,ABBOTT
93,ICTASURE SR 100 MG 10S  TAB,158.00,Each Sustained release tablet contains :                            Lamotrigine I.P.    100mg,ABBOTT
94,ICTASURE SR 200 MG 10S TAB,289.00,Each Sustained release tablet contains :                            Lamotrigine I.P.    200mg,ABBOTT
95,ICTASURE DT 25 MG 10 S TAB,50.00,Each uncoated dispersible tablet contains :                                              Lamotrigine I.P.    25mg                                                                 Colour : Iron Oxide Yellow,ABBOTT
96,ICTASURE DT 50 MG 10 S TAB,89.00,Each uncoated dispersible tablet contains :                                              Lamotrigine I.P.    50mg                                                                 Colour : Iron Oxide Yellow,ABBOTT
97,ICTASURE DT 100 MG 10S  TAB,150.00,Each uncoated dispersible tablet contains :                                              Lamotrigine I.P.    100mg                                                                 Colour : Iron Oxide Yellow,ABBOTT
98,BRUSPAZ 4 MG 10'S,125.00,"Each hard gelatin capsule contains:
Diclofenac Tablets IP (as enteric coated tablet contains)  Diclofenac Sodium IP . ……..50mg                       Colours : Titanium Dioxide IP & Quinoline Yellow      Thiocolchicoside IP ..…………..4mg                           Approved colours used in capsule shell",ABBOTT
99,BRUSPAZ 8 MG 10'S,216.50,"Each hard gelatin capsule contains:
Diclofenac Tablets IP (as enteric coated tablet contains)  Diclofenac Sodium IP . ……..50mg                       Colours : Titanium Dioxide IP & Quinoline Yellow      Thiocolchicoside IP ..…………..8mg                           Approved colours used in capsule shell",ABBOTT
100,THYRONORM 150 MCG 100'S,156.54,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………150mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Alizarin Cyanine Green F and Quinoline Yellow WS",ABBOTT
101,THYRONORM 150 MCG 100'S,156.54,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………150mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Alizarin Cyanine Green F and Quinoline Yellow WS",ABBOTT
